episode,reward
0,-542
1,-542
2,-223
3,-578
4,-560
5,-587
6,-605
7,-497
8,-542
9,-497
10,-569
11,-479
12,-407
13,-551
14,-650
15,-434
16,-488
17,-524
18,-560
19,-443
20,-524
21,-551
22,-686
23,-434
24,-353
25,-304
26,-362
27,-115
28,-220
29,-97
30,-461
31,-407
32,-560
33,-425
34,-470
35,-182
36,-317
37,-506
38,-299
39,-533
40,-416
41,-344
42,-173
43,-344
44,-184
45,-344
46,-407
47,-323
48,-47
49,-587
50,-218
51,-407
52,-443
53,-389
54,-380
55,-362
56,-289
57,-389
58,-362
59,-362
60,-362
61,-407
62,-90
63,-173
64,-344
65,-335
66,-182
67,-342
68,-434
69,-131
70,-141
71,-47
72,-434
73,2
74,-479
75,-317
76,-158
77,-353
78,-9
79,-272
80,-233
81,-307
82,-289
83,-57
84,-77
85,-389
86,-65
87,-305
88,-69
89,-389
90,-312
91,-425
92,-416
93,-65
94,-101
95,-54
96,-325
97,-240
98,-142
99,-272
100,-372
101,-100
102,-362
103,-416
104,-309
105,-40
106,3
107,-80
108,-62
109,-187
110,-179
111,-39
112,-59
113,-216
114,-63
115,-407
116,-254
117,-116
118,-179
119,-425
120,-362
121,-180
122,-63
123,-113
124,-227
125,-178
126,-323
127,-169
128,-77
129,-43
130,-113
131,-66
132,-76
133,-270
134,-146
135,-103
136,-371
137,-305
138,-315
139,-224
140,-360
141,-416
142,-88
143,-7
144,-290
145,-9
146,-174
147,-163
148,-229
149,-46
150,-145
151,7
152,-29
153,-24
154,-91
155,-3
156,-201
157,-47
158,-279
159,-58
160,-125
161,-80
162,-57
163,-8
164,-68
165,-16
166,-24
167,-144
168,-16
169,-160
170,-85
171,-38
172,-33
173,-75
174,4
175,10
176,-31
177,-344
178,-50
179,-168
180,-48
181,-204
182,-305
183,-224
184,-122
185,9
186,-11
187,-407
188,-35
189,-53
190,-67
191,-221
192,-256
193,-48
194,-189
195,-28
196,-50
197,-66
198,-306
199,-21
200,-5
201,-3
202,-41
203,-10
204,-46
205,-70
206,-130
207,-175
208,-21
209,-60
210,-25
211,-1
212,-73
213,-69
214,-51
215,-20
216,-131
217,-101
218,-257
219,-202
220,-65
221,-99
222,-125
223,-105
224,-2
225,-24
226,-49
227,-68
228,-200
229,-13
230,-102
231,-165
232,-68
233,-183
234,-43
235,-10
236,7
237,-25
238,-5
239,9
240,-143
241,-10
242,-16
243,-9
244,-108
245,-87
246,-43
247,-5
248,-110
249,-115
250,-4
251,-28
252,-38
253,2
